Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.20416,97.25819,100,98.97477,100,98.42364,,,,97.86559,,97.15363,99.79433,98.81848,98.04007,98.78911,,,,
American Samoa,ASM,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.55472,,,,
Australia,AUS,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,100,100,100,99.85982,99.84555,99.52209,,,,,
Azerbaijan,AZE,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3603,,49.86717,92.64089,,98.20932,99.09228,96.99131,97.27987,97.64424,99.424,98.84785,98.06025,99.43002,99.11716,98.47679,98.73429,98.22198,99.68311,98.04272,100,98.80717,99.07956,100,98.35605,,,,
Burundi,BDI,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,9.41679,9.63158,12.89753,7.78302,7.97887,15.62199,7.45036,8.67815,9.33134,10.78176,13.60038,18.02177,15.94858,10.29148,,13.1963,16.25158,,,,,,,,,,,63.82248,55.49483,,,63.39477,64.38854,63.43387,66.65397,66.33929,72.56525,74.84095,77.63964,85.63046,76.95371,76.97064,,,,
Belgium,BEL,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,82.19734,86.75661,86.15401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,53.47773,47.91558,48.00298,46.70659,52.86859,51.27958,57.61331,53.85957,56.55534,67.70997,,69.50962,58.22702,,,,,,35.8373,,,,,,,,,,,100,,78.11265,,,,,,,,77.49599,,87.34563,86.16496,87.42872,85.17943,,,,,,
Burkina Faso,BFA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,22.25211,23.83911,28.9556,25.50642,26.76471,28.78098,,28.88557,33.25173,,,,,,,,,,,,,,42.96841,,,,,67.86191,60.49061,61.58661,,60.21899,,65.29883,65.24186,66.03442,72.82324,71.6955,73.35619,,71.16483,67.28668,66.74549,75.86897,76.91814,75.15855,79.47294,,,,
Bangladesh,BGD,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,98.4703,100,98.94605,99.06316,93.72681,96.77075,97.92918,96.96016,95.51108,98.50433,98.7855,97.25347,,98.37403,,98.99823,97.94378,97.46927,97.94942,98.31812,98.21806,97.59649,97.21578,97.49794,98.39176,98.27196,98.809,98.775,99.17181,99.02164,98.48609,98.84133,,,,,
Bahrain,BHR,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,88.21954,95.53701,91.21311,,97.02792,,97.90019,,,98.01489,100,100,,,,,,,99.67557,100,100,100,99.88588,99.70984,,,,,,,99.78726,99.85191,100,100,99.98956,99.43182,99.57022,,,,
"Bahamas, The",BHS,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16506,98.56544,99.56491,,98.71839,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.77975,,,,,99.33006,98.59921,99.00013,98.07339,,,,
Belarus,BLR,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.01642,96.10732,100,99.7358,,99.98797,100,99.76423,100,99.79071,97.47053,100,99.961,99.87063,100,,,97.24498,98.84643,98.64231,98.44005,98.76852,98.25375,98.44134,98.70679,,,,
Belize,BLZ,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.61237,,,94.46985,94.97808,,,,96.46268,95.2414,,97.25106,96.50155,96.0831,94.1349,95.71803,96.50725,96.51908,97.55081,98.11879,97.76474,95.30847,98.52204,95.42334,97.79266,96.98988,97.27735,,,,
Bermuda,BMU,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4359,,,,,,,,,100,,,,,,,,,,
Bolivia,BOL,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.65013,94.16719,94.89704,96.1474,95.93287,96.64184,96.8833,96.31183,97.11572,,,,
Brazil,BRA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,66.15578,86.82331,86.19205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.35268,97.46002,98.9111,100,98.85728,97.31407,100,100,98.00464,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,81.53425,,91.85562,77.68595,69.03846,88.63859,,95.84317,98.8788,,99.11816,86.2426,,,,,,,,,,,,,,,,,,,93.43503,98.07263,97.45188,98.85638,98.32529,99.44969,98.94933,100,99.88525,100,99.46041,99.97168,98.73491,,99.45722,99.58777,,,,
Bhutan,BTN,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,75.54348,70.2381,,,,,,,,,,,,,,,89.50749,,,,97.23305,94.27224,93.94585,94.74282,,,,,97.61769,,,100,99.54822,100,100,96.9166,100,,,100,,,,,
Botswana,BWA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,49.36256,46.00758,48.46733,56.35228,63.13952,74.91057,91.16509,84.4083,88.88773,87.11586,93.66567,,,,96.96474,96.06118,96.64201,97.72435,95.60749,97.78857,98.09743,98.57696,97.05441,99.02142,,,,,97.55986,,,,,,,,,
Central African Republic,CAF,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,33.72809,31.28882,38.88043,,,,33.04442,,,55.58471,60.02575,66.61882,,,63.9662,41.03591,45.14491,48.73081,50.31295,59.65613,,,,,,,,,,,,,,81.23484,,,,62.0557,,,67.58232,,,,,,,,,,
Canada,CAN,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.62903,99.20563,99.00666,98.05036,99.17708,99.35825,98.27164,99.37904,99.33983,99.46915,99.32281,99.36369,99.45272,99.38136,99.24138,98.89633,98.88058,98.91816,98.78455,98.94015,98.93983,98.6015,98.85251,99.04631,99.23571,99.33394,99.3358,,,,
Switzerland,CHE,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.98132,100,100,99.63651,99.70178,100,100,100,100,100,100,100,100,100,99.78603,100,99.68553,99.82865,,,,,
Channel Islands,CHI,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,91.67054,90.65974,90.72993,88.73865,88.8015,87.17127,91.2165,,,,,,95.55964,,,,,,,,,,,,,,99.19605,,,,,,,,,,,,,,97.3883,98.13074,98.2866,97.95218,98.06903,98.20181,98.43546,,,,,
China,CHN,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.67769,86.78627,,,,,,,,,,,,100,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,45.21813,42.02048,,39.72803,39.73296,45.29779,44.95398,52.93695,50.52067,,41.83371,40.16159,42.54663,42.90726,42.59271,42.54918,,,,,,62.87894,,59.82874,61.08926,57.29041,,49.43688,62.56459,,,,,,69.01947,,66.89039,,,68.4251,,84.84545,90.45018,89.33549,92.50092,,,,,
Cameroon,CMR,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,22.28285,24.88372,26.31161,27.26931,29.61034,26.4758,31.78827,30.25339,30.93853,31.2213,35.24038,35.34513,37.81411,37.74156,41.15076,42.02732,,,42.04013,,,,,,,,,30.3323,,,,,,,45.20219,60.21903,53.02537,,64.37891,69.19838,,,71.14645,69.35837,,,,,,
"Congo, Dem. Rep.",COD,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,46.91992,,,,,,,,,,,,,,,,,,,,33.49536,40.94143,34.66839,,,,,,,,,,,,,,85.13085,,,,74.01088,71.08148,,,,,,,,,
"Congo, Rep.",COG,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,64.44444,81.03396,81.04681,82.61367,93.56993,97.90447,94.91908,,100,,94.35087,96.928,,,78.83994,,79.5492,,,,69.45474,56.81042,,72.62517,,,,,,57.97182,52.14839,87.74073,67.84209,,,69.11998,68.7563,74.43224,,74.79442,,,,,,,,,,
Colombia,COL,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,54.1276,56.72696,64.62048,65.05574,62.68193,63.31141,,,,,,,,,,95.86569,,92.15308,,,,99.23733,100,100,99.16939,99.30585,97.30352,97.17553,98.78909,94.7738,,,,,,,,,
Comoros,COM,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.93446,82.47765,,,,,,,,,,85.22936,,,,,,,,
Cabo Verde,CPV,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,51.62788,49.18033,47.86667,45.79977,48.40764,43.42857,62.56158,,58.38084,,,,,,,,,,,,,,89.98196,90.01254,90.5925,96.75762,100,94.45872,95.03225,95.07266,98.69423,100,100,98.09767,97.43485,99.39809,98.88257,100,94.63132,,,,
Costa Rica,CRI,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,50.42527,55.59863,,,,,,,,,57.22565,53.94394,,,54.48492,58.12183,59.86998,62.82408,63.19253,,64.97832,67.17017,67.8138,69.21361,69.25162,69.81065,,,,83.93957,81.8918,86.60504,,,,96.23936,,93.79592,91.14907,89.69516,90.60821,90.26088,83.06517,83.31634,82.40032,83.16504,84.17938,90.31448,,,,
Caribbean small states,CSS,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,86.8628,89.58164,88.77966,88.19542,87.86187,87.37392,83.21059,83.23124,82.91582,83.47584,83.98344,84.66208,85.27614,86.36219,87.44519,87.97297,89.97097,87.36964,89.44458,90.35883,90.14575,91.02352,,94.86459,93.37846,95.64019,95.00854,94.3839,93.59977,95.69669,93.82857,93.53939,93.22067,94.30178,,,,
Cuba,CUB,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,63.4553,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.01144,98.21321,98.34016,98.5079,99.11776,98.86839,99.01726,98.46354,98.86903,98.51525,99.3647,98.7953,99.35887,98.94146,99.23799,98.61963,99.22121,99.17383,98.92097,,,,
Curacao,CUW,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.37401,90.90909,92.85714,,,100,99.57754,100,95.29337,,,,93.37349,100,,,,,,,,,
Cyprus,CYP,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,77.22165,84.00144,85.03877,78.91657,91.43879,91.78796,91.23563,93.62325,93.28437,92.5366,91.32174,91.44999,98.03875,97.12813,98.07428,97.02218,99.59016,,99.22122,,,99.79202,98.37999,99.30118,100,98.42863,,,100,99.02477,98.48972,98.97465,100,99.35192,99.56006,100,100,100,100,100,100,100,99.86462,100,96.75261,100,,,,,
Czech Republic,CZE,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,99.8909,99.9426,99.56788,99.67719,100,100,99.81965,99.31826,99.3661,99.85362,100,100,100,100,100,100,100,99.89171,,,,,
Germany,DEU,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.94261,100,100,99.98633,,,99.73917,99.80124,99.62512,99.51008,99.45931,99.63642,99.34,99.09832,99.23146,,,,,,99.36093,99.24637,99.80508,98.97983,,,,,
Djibouti,DJI,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,52.53165,53.125,28.09917,26.49573,,,,,,,,,,,,,,,,,,,,,,,,60.54554,79.41822,,,,87.21695,83.18792,,,,,,80.59006,,100,78.66924,74.93578,81.12698,84.38428,,,,
Dominica,DMA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.24758,95.71078,,95.55025,,98.00758,,,97.5976,,95.97436,100,99.88662,94.82471,,92.52285,,,,,,,
Denmark,DNK,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,99.90701,,,99.36559,99.96186,96.45118,97.90762,100,99.84512,99.73628,97.68099,99.82754,100,99.99625,99.89736,99.88326,,,,,
Dominican Republic,DOM,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.96276,92.6301,,,,90.58478,,,100,,94.63389,93.37584,97.47864,95.25456,97.22726,99.20858,97.68721,95.07859,94.31237,94.8466,,,,
Algeria,DZA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,39.17169,34.18135,46.88227,52.87986,56.3841,61.04403,63.72437,64.68405,,73.93453,,86.25104,84.97673,,,,88.82153,88.8169,88.11189,89.81241,89.88089,89.7464,89.09444,88.851,91.64545,,91.6497,96.78057,94.1204,94.82403,94.73648,94.28978,94.2989,93.12243,93.97279,95.98997,,97.79176,97.06229,95.32419,96.95983,98.7568,97.96364,97.81033,,98.3805,,,,
East Asia & Pacific (excluding high income),EAP,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.45516,84.18167,84.62335,83.96508,83.10635,84.68391,86.15038,87.93249,89.4702,90.75405,90.6921,93.55264,95.86404,96.64828,96.44065,96.61746,97.08446,,,93.97242,95.56477,96.08988,95.88959,96.00385,,,,
Early-demographic dividend,EAR,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,76.56579,76.36163,77.74956,74.58691,75.44092,76.46917,77.61996,78.86578,80.20862,81.41593,82.45047,83.61537,84.81287,86.03632,87.11207,87.07454,89.05893,90.67937,88.0376,87.49954,89.19637,90.65608,90.67895,91.02425,91.55576,91.99801,92.14565,90.59078,90.81557,,,90.83289,91.91673,,,,
East Asia & Pacific,EAS,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0879,85.3059,85.66264,84.96394,84.07325,85.49218,86.81142,88.47075,89.92144,91.13736,91.11713,93.77939,95.91994,96.68907,,96.65861,97.08002,,,94.18937,95.64163,96.11886,95.91668,95.99507,,,,
Europe & Central Asia (excluding high income),ECA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.98553,90.17988,90.38721,90.74484,92.60402,93.50122,94.32451,94.96596,95.32603,94.41674,94.81419,96.62728,97.53516,98.73195,98.86341,98.8682,98.94216,99.13509,99.2721,99.12506,96.58248,98.1012,98.44966,99.444,99.54916,99.57045,,,,
Europe & Central Asia,ECS,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.81828,93.29727,93.02475,93.61681,94.73616,95.14419,95.84454,96.29754,96.59308,96.12393,96.33255,97.27022,97.72596,98.24187,98.20124,98.25778,98.27214,98.28455,98.35818,98.29802,97.04813,97.83622,98.02717,98.53174,98.58311,98.62727,,,,
Ecuador,ECU,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,72.10667,,,81.44108,88.43635,86.66032,88.17251,93.38583,,,,,,,,,,,,,,,58.73281,,,,,65.83837,66.67118,68.25152,70.70526,71.1615,71.48929,76.16042,75.59367,77.08833,,94.29466,93.91816,93.06836,96.01322,98.25261,99.90298,95.87593,98.86893,99.20505,100,,,,
"Egypt, Arab Rep.",EGY,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,73.1354,81.51195,,,,,,,,,,,,,,,,,,,,,,95.19906,95.61341,,92.95296,94.97875,,,,,,,,,,,,,95.99046,98.1171,,,,
Euro area,EMU,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,95.11257,95.39778,94.23578,94.15992,94.97197,95.69277,96.73344,96.43378,96.48055,96.70087,96.88458,96.41458,96.68563,95.92344,95.51041,94.8082,95.71875,95.9053,96.17122,96.5519,96.84186,97.06572,97.04711,97.0057,96.90584,96.91736,96.62267,96.4509,96.69756,96.66424,96.49255,96.49102,96.56812,96.51339,96.58135,96.61729,96.65955,96.61449,96.69044,,,,
Eritrea,ERI,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.38538,89.01155,93.60907,88.56843,,,95.91415,84.77524,86.2874,91.90522,89.84721,89.58674,86.24286,83.6114,89.82206,88.7737,89.85519,93.59818,94.49386,95.72232,,91.28169,,,92.98367,,,,
Spain,ESP,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,98.40156,98.47977,98.70546,99.34169,98.89938,99.60102,99.72062,97.81463,98.67435,99.49485,,,99.54158,98.89136,,,,,,,,,,,,,,,100,99.00575,,,,99.97917,100,99.31164,100,,,,,
Estonia,EST,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3736,,,99.55471,100,99.75328,99.82145,,99.85708,99.96631,,,99.59264,98.82057,99.67569,99.44637,99.64196,99.37888,99.40232,99.3088,99.98306,99.96716,,,,,
Ethiopia,ETH,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,86.68294,85.46922,,,,,,89.53567,87.77529,93.12426,,,98.73869,,,,,,97.87009,96.00668,92.79219,92.70872,92.25971,91.14529,89.35196,96.61785,,,90.91628,,,,,,,
European Union,EUU,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,96.8681,97.55261,,,,,,97.56819,,96.88721,96.2082,97.11732,97.30426,97.2096,97.72501,97.90097,98.06083,98.00318,97.99366,97.94481,97.93552,97.74361,97.48563,97.63072,97.62012,97.46991,97.49715,97.50502,97.43727,97.53512,97.59163,97.63889,97.64045,97.704,,,,
Fragile and conflict affected situations,FCS,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,73.76958,73.62477,73.96177,66.50149,66.64607,67.5093,67.53996,67.72978,67.0695,66.75185,65.84167,61.97541,63.45798,64.30564,64.82507,66.191,65.76646,65.77128,65.43697,65.40984,64.96966,65.54475,66.02263,65.15537,66.8825,67.81413,68.96469,69.92132,70.83227,71.42786,71.93066,71.01089,74.25014,76.32754,75.8021,76.41014,77.05695,77.27399,77.93789,78.44062,78.68712,77.96688,75.538,76.31288,76.50319,76.62294,77.33553,76.63144,,,,
Finland,FIN,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,,,,99.94607,100,100,99.67103,99.97372,99.67994,100,99.94577,100,100,99.96187,100,100,99.93703,99.73408,100,99.84194,100,100,99.79078,,,,,
Fiji,FJI,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,92.37299,92.64706,,,93.66064,94.79267,94.61164,,,,,,,,,,,,,,100,96.57214,100,,98.62891,,,,100,97.11196,,,97.28866,,,,98.21088,,,,,,
France,FRA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
